Year,Geography,Import,Export,CO2_Emissions
1980,Africa,618.184,5428.078,525.60504627531
1981,Africa,609.27,3964.097,519.40828680171
1982,Africa,557.209,3458.547,558.22154458908
1983,Africa,477.787,3394.148,586.00208132362
1984,Africa,507.619,3629.964,612.15011236052
1985,Africa,516.617,3837.154,627.86191518118
1986,Africa,527.987,3732.62,648.06068110926
1987,Africa,514.326,3428.169,673.27653605567
1988,Africa,522.758,3631.883,686.62113854899
1989,Africa,520.363,4059.778,709.66432543937
1990,Africa,576.424,4398.62,740.69173251131
1991,Africa,527.56,4668.889,747.79177216834
1992,Africa,594.523,4677.71,750.55325152757
1993,Africa,589.109,4622.432,773.93553622489
1994,Africa,642.29,4620.097,789.64232025216
1995,Africa,700.522,4762.329,817.11811260153
1996,Africa,688.698,5140.181,842.02669890841
1997,Africa,771.988,5292.298,867.51774203272
1998,Africa,768.849,5304.335,881.67888935156
1999,Africa,746.664,5129.289,869.52681827686
2000,Africa,763.756,5483.568,883.28526544738
2001,Africa,732.632,5309.026,902.44257901454
2002,Africa,740.542,5321.166,930.10828240592
2003,Africa,767.057,5965.808,971.59667890535
2004,Africa,796.455,6772.468,1015.4663985189
2005,Africa,835.403,7137.222,1050.1523825191
2006,Africa,757.693,7310.43,1064.5472532642
2007,Africa,797.544,7869.01,1086.8930495983
2008,Africa,810.427,7564.578,1137.2751134694
2009,Africa,731.024,7556.83,1108.2864483899
2010,Africa,729.824,7732.425,1161.1278273285
2011,Africa,745.191,6593.673,1162.4750045751
2012,Africa,790.341,7243.301,1206.5759624247
2013,Africa,778.533,6418.21,1219.20230069
2014,Africa,800.921,6155.89,1255.1854084645
2015,Africa,711.064,6238.78,1214.0316850396
1980,Asia,7047.911,1944.323,3556.7120807456
1981,Asia,6649.54,1907.149,3601.1238980767
1982,Asia,6419.041,1832.278,3655.4026432414
1983,Asia,6273.798,1958.792,3770.666982094
1984,Asia,6218.657,2066.847,4057.2033426684
1985,Asia,5710.417,2093.381,4181.2045551317
1986,Asia,5866.282,2109.401,4284.460246217
1987,Asia,5888.13,1969.997,4496.0271692874
1988,Asia,6258.575,1962.668,4826.1969291265
1989,Asia,6860.28,2005.063,4934.8830394604
1990,Asia,7571.858,2050.339,5355.3508037481
1991,Asia,8003.294,2220.651,5295.9365922121
1992,Asia,8930.602,2157.418,5494.8897649903
1993,Asia,9515.247,2072.511,5829.6917965254
1994,Asia,9852.59,2138.586,6150.563266019
1995,Asia,10231.503,2098.018,6603.083025415
1996,Asia,10983.49,2085.464,6820.5559952128
1997,Asia,11889.047,2112.939,6859.6050863546
1998,Asia,11545.454,2104.503,6791.4395917354
1999,Asia,12159.813,2023.841,7149.2481798242
2000,Asia,13334.900136612,2020.6212745902,7614.9990875893
2001,Asia,13083.604,2192.8533679452,7850.8707096312
2002,Asia,13103.575,2116.3249323288,8281.6677814042
2003,Asia,14061.959,2045.2447728767,9113.4167019917
2004,Asia,15161.862,1899.5434396175,9949.3907719146
2005,Asia,15555.854,1860.3548378082,10783.5840861
2006,Asia,15983.08,1622.1003693151,11518.98714421
2007,Asia,16570.635,1622.3373405479,12192.001375657
2008,Asia,16533.111,1529.011531694,12495.054481166
2009,Asia,16550.357,1634.060200274,13244.715622263
2010,Asia,17711.697,1522.7547035616,14168.589265887
2011,Asia,18404.849,1379.7280408219,15190.968513581
2012,Asia,19338.830844262,1319.3288202186,15719.731923341
2013,Asia,19481.17,1216.5047961644,15325.24818231
2014,Asia,19841.5785,1177.2964983562,15290.478451355
2015,Asia,20838.615,1357.2778216438,15212.315156581
1980,South America,1866.498,1594.705,623.3130727719
1981,South America,1707.161,1573.132,617.1600443895
1982,South America,1597.863,1348.901,610.81926756487
1983,South America,1560.495,1290.097,592.26512416721
1984,South America,1398.18,1306.621,616.86424288249
1985,South America,1061.464,1154.581,618.88657861144
1986,South America,1410.061,1341.405,669.0129244252
1987,South America,1495.358,1393.902,686.54370135246
1988,South America,1576.305,1452.862,692.30808236595
1989,South America,1547.216,1402.833,711.75270818071
1990,South America,1588.638,1707.963,722.7030164179
1991,South America,1532.778,1849.732,735.76191436914
1992,South America,1491.309,1856.017,739.65005724416
1993,South America,1467.344,2207.411,779.26514912375
1994,South America,1581.359,2416.056,808.81363557709
1995,South America,1606.644,2793.142,855.54604952377
1996,South America,1758.124,3006.586,897.08050167441
1997,South America,1755.968,3343.623,945.01769217964
1998,South America,1812.057,3388.463,966.43110358619
1999,South America,1688.132,3062.811,977.06514286091
2000,South America,1638.262,3024.764,992.80807323579
2001,South America,1724.638,2979.696,1014.0215059736
2002,South America,1565.957,2942.038,1004.5403839026
2003,South America,1596.874,2739.45,1015.9910054719
2004,South America,1797.677,2920.089,1058.1652003272
2005,South America,1816.241,3376.972,1099.3484587169
2006,South America,1733.405,3201.947,1145.0165399214
2007,South America,1759.54,3011.199,1165.6756062608
2008,South America,1624.879,3099.186,1209.7480625653
2009,South America,1621.319,3154.209,1192.6040278467
2010,South America,1424.351,3392.168,1299.7281173015
2011,South America,1318.457,3551.724,1325.1622273933
2012,South America,1146.279,3481.872,1376.1596819242
2013,South America,1152.629,3587.76,1408.3922864805
2014,South America,1164.395,3649.26,1433.3162132969
2015,South America,1150.668,4004.36,1426.9864254453
1980,Europe,13600.601,1467.196,4676.6808766667
1981,Europe,11796.508,1648.962,4502.58285
1982,Europe,10730.067,1827.195,4461.2539466667
1983,Europe,10099.541,2060.591,4426.9502028867
1984,Europe,10194.38,2363.999,4474.0870566667
1985,Europe,9967.631,2454.997,4597.3782203173
1986,Europe,10898.359,2642.641,4652.37616
1987,Europe,10831.317,2700.106,4706.0055566667
1988,Europe,11161.367,2615.698,4662.7116733333
1989,Europe,11270.638,2549.197,4698.4241133333
1990,Europe,11300.005,2693.822,4590.9825018232
1991,Europe,11009.875,2838.428,4505.6197023855
1992,Europe,11365.285,3079.087,4335.7527935079
1993,Europe,11581.943,3364.276,4278.7046128186
1994,Europe,11727.796,4038.995,4254.2948182521
1995,Europe,11770.539,4264.127,4339.3883051801
1996,Europe,12109.358,4523.342,4456.6414943473
1997,Europe,12336.865,4592.259,4425.5981698001
1998,Europe,12912.305,4531.458,4435.3083611135
1999,Europe,12202.266,4688.46,4357.0474834905
2000,Europe,12522.191,4985.874,4419.37335
2001,Europe,12589.752,4895.652,4481.3818933943
2002,Europe,12354.506,4807.014,4456.5634400987
2003,Europe,12681.997,4424.138,4565.2885740753
2004,Europe,13061.15,4116.912,4652.6356731792
2005,Europe,13054.883,3607.565,4636.3279274196
2006,Europe,12918.713,3250.726,4693.972364676
2007,Europe,12802.734,3195.109,4655.4715150501
2008,Europe,12756.01,2935.844,4584.077109404
2009,Europe,11627.158,2805.759,4288.6115514787
2010,Europe,11628.146,2570.47,4388.6616133165
2011,Europe,11315.755,2246.979,4340.5402219249
2012,Europe,11535.634,2075.834,4271.4244450936
2013,Europe,10975.354,2024.009,4087.4202692567
2014,Europe,10859.763,2016.125,3937.852101482
2015,Europe,11611.602,2067.817,3991.1547462525
1980,Middle East,565.438,16362.586,492.74681304797
1981,Middle East,590.141,13630.004,468.63022046022
1982,Middle East,553.638,10385.596,489.11825499445
1983,Middle East,545.225,8889.303,533.27406135024
1984,Middle East,584.487,8266.358,557.99064654774
1985,Middle East,515.057,7057.784,579.32304176411
1986,Middle East,575.41,9029.223,622.7141775336
1987,Middle East,556.674,8676.545,648.36415290518
1988,Middle East,555.443,10110.38,680.45156007112
1989,Middle East,511.92,11370.104,712.19461040849
1990,Middle East,533.406,12240.842,729.32138009559
1991,Middle East,475.037,12462.261,784.93129553663
1992,Middle East,558.531,13441.547,813.28194676084
1993,Middle East,541.002,14119.975,840.95665676179
1994,Middle East,505.957,13696.863,883.63249698129
1995,Middle East,511.704,13721.664,902.61744766604
1996,Middle East,525.462,13681.431,935.09667526857
1997,Middle East,553.449,14312.653,987.36673583542
1998,Middle East,569.256,15410.475,1018.494023004
1999,Middle East,525.051,15006.969,1056.1085522122
2000,Middle East,571.677,15951.961,1093.7695223994
2001,Middle East,512.288,15248.361,1120.8565289933
2002,Middle East,512.905,13824.259,1175.3753356462
2003,Middle East,539.651,15016.151,1243.4433157257
2004,Middle East,526.104,16496.228,1332.6297772545
2005,Middle East,544.194,16981.043,1451.1064112063
2006,Middle East,596.874,17025.343,1503.5089189157
2007,Middle East,557.003,16812.42,1534.3892283985
2008,Middle East,515.509,17329.811,1633.3268814292
2009,Middle East,543.464,15292.887,1747.1691764271
2010,Middle East,526.13,15582.679,1859.9265444129
2011,Middle East,497.198,17634.316,1965.5513353384
2012,Middle East,545.432,17555.576,2042.8378865957
2013,Middle East,559.305,17409.226,2021.3518621843
2014,Middle East,589.483,17024.699,2086.5094213158
2015,Middle East,642.734,17465.545,2132.7803021072
1980,North America,5814.397,1410.318,5473.088799698
1981,North America,4903.298,1616.447,5352.6504677164
1982,North America,3834.128,2133.018,5114.0213408304
1983,North America,3580.307,2191.153,5057.7329474026
1984,North America,3676.62,2194.679,5330.3933548748
1985,North America,3487.542,2234.566,5324.864087293
1986,North America,4535.011,2062.729,5307.5769145164
1987,North America,5079.431,2156.447,5489.2336344369
1988,North America,5555.48,2221.104,5742.3887546814
1989,North America,6330.228,2099.916,5850.3276939005
1990,North America,6429.284,2061.384,5815.4447067516
1991,North America,6324.856,2272.664,5773.8939897157
1992,North America,6595.972,2293.589,5892.0481593361
1993,North America,7378.013,2366.304,5989.7045390531
1994,North America,7684.241,2381.317,6093.7275047495
1995,North America,7819.64,2430.542,6148.1001103647
1996,North America,8190.018,2697.575,6356.1497240466
1997,North America,8989.097,2965.238,6470.8368296589
1998,North America,9480.436,3091.579,6535.3583315375
1999,North America,9553.472,2842.538,6607.078755095
2000,North America,9981.609,3074.44,6818.3509919901
2001,North America,10244.384,3040.368,6696.5646806423
2002,North America,10019.009,3118.736,6744.6876910932
2003,North America,10563.978,3357.677,6841.0063346127
2004,North America,11013.611,3500.443,6965.7343857477
2005,North America,11092.136,3554.779,7012.3374802466
2006,North America,11006.216,3614.917,6949.4745318935
2007,North America,10926.526,3321.289,7078.1318805467
2008,North America,10669.601,3087.585,6880.0761192367
2009,North America,9902.912,2870.466,6441.5116838522
2010,North America,10055.421,3078.279,6613.4161412749
2011,North America,9758.199,3275.686,6523.1935943024
2012,North America,9370.693,3332.317,6308.7943309098
2013,North America,8534.4,3621.908,6417.1759704677
2014,North America,8120.737,3940.776,6463.5575411989
2015,North America,8266.441,4336.007,6322.9739793043
